Temperature,Genotype,Flask,CellCount,CellsPermL,AvgRespPerCell,AvgGPPerCell,AvgNPPerCell
26,RT362,1,,,-0.027295277,0.031856948,0.059152225
26,RT362,2,,,-0.024746497,0.042625336,0.067371833
26,RT362,3,,,-0.022964818,0.033727597,0.056692416
26,RT362,4,,,-0.018446996,0.027183112,0.045630108
26,CCMP2464,1,,,-0.030837026,0.050166766,0.081003792
26,CCMP2464,2,,,-0.03142602,0.049796259,0.081222279
26,CCMP2464,3,,,-0.036840867,0.058451806,0.095292673
26,CCMP2464,4,,,-0.021295315,0.03387212,0.055167435
26,CCMP2458,1,,,-0.010835902,0.012160032,0.022995934
26,CCMP2458,2,,,-0.009201988,0.014003918,0.023205906
26,CCMP2458,3,,,-0.015455607,0.022057788,0.037513396
26,CCMP2458,4,,,-0.014459951,0.019777723,0.034237674
26,FLCass,1,,,-0.032481593,0.092626099,0.125107692
26,FLCass,2,,,-0.028609336,0.090240456,0.118849793
26,FLCass,3,,,-0.030947159,0.075880114,0.106827273
26,FLCass,4,,,-0.037714017,0.08228431,0.119998326
26,KB8,1,,,-0.015995124,0.026433091,0.042428216
26,KB8,2,,,-0.017253448,0.033684943,0.050938391
26,KB8,3,,,-0.0391035,0.0628165,0.10192
26,KB8,4,,,-0.021522451,0.030003277,0.051525728
30,RT362,1,,,-0.00591378,0.019925233,0.025839013
30,RT362,2,,,-0.004885516,0.020004067,0.024889583
30,RT362,3,,,-0.006824468,0.023469894,0.030294362
30,RT362,4,,,-0.005867981,0.025554176,0.031422158
30,CCMP2464,1,,,-0.009852455,0.022880749,0.032733204
30,CCMP2464,2,,,-0.008291724,0.021914138,0.030205862
30,CCMP2464,3,,,-0.011490208,0.022598854,0.034089063
30,CCMP2464,4,,,-0.010758286,0.017907524,0.02866581
30,CCMP2458,1,,,-0.007891059,0.007802433,0.015693491
30,CCMP2458,2,,,-0.005560194,0.005809191,0.011369385
30,CCMP2458,3,,,-0.005649762,0.008465079,0.014114841
30,CCMP2458,4,,,-0.005442972,0.008730866,0.014173838
30,FLCass,1,,,-0.013045552,0.016349303,0.029394855
30,FLCass,2,,,-0.011853995,0.012321872,0.024175868
30,FLCass,3,,,-0.008638957,0.01093047,0.019569427
30,FLCass,4,,,-0.006451491,0.008591667,0.015043158
30,KB8,1,,,-0.006675365,0.004054141,0.010729506
30,KB8,2,,,-0.007518688,0.005437243,0.012955931
30,KB8,3,,,-0.008159675,0.005352189,0.013511864
30,KB8,4,,,-0.006932272,0.004494528,0.011426801
32,RT362,1,,,-0.608640559,1.121740809,1.730381368
32,RT362,2,,,-0.388917119,1.189618965,1.578536084
32,RT362,3,,,-0.374412292,1.199584656,1.573996949
32,RT362,4,,,-0.264514077,1.168844284,1.433358361
32,CCMP2464,1,,,-0.684892331,1.09987622,1.784768551
32,CCMP2464,2,,,-0.842095135,1.117524381,1.959619516
32,CCMP2464,3,,,-0.845801591,1.1450054,1.990806991
32,CCMP2464,4,,,-0.544032607,1.091342477,1.635375084
32,CCMP2458,1,,,-0.332256684,1.252864554,1.585121238
32,CCMP2458,2,,,-0.3257663,1.231905922,1.557672222
32,CCMP2458,3,,,-0.306108861,1.239469638,1.5455785
32,CCMP2458,4,,,-0.436797283,1.19314116,1.629938443
32,FLCass,1,,,-1.337466194,0.984229567,2.321695761
32,FLCass,2,,,-1.502076707,0.96142189,2.463498597
32,FLCass,3,,,-1.254473885,1.052044605,2.306518489
32,FLCass,4,,,-1.954187262,0.979520421,2.933707682
32,KB8,1,,,-0.704173078,1.198565148,1.902738227
32,KB8,2,,,-0.748274673,1.201511805,1.949786479
32,KB8,3,,,-0.735659655,1.173965119,1.909624775
32,KB8,4,,,-0.595755519,1.194644818,1.790400337
